Column_Timestamp,Column_22_23,Col1292,Col1293,Column_labels
1681390325,2131008,32,66594,0
1681393325,2135392,32,66731,0
1681396325,2135648,32,66739,0
1681399325,2135648,32,66739,0
1681402325,2143264,32,66977,0
1681405325,2143424,32,66982,0
1681408325,2149248,32,67164,0
1681411325,2149248,32,67164,0
1681414325,2149248,32,67164,0
1681417325,2149248,32,67164,0
1681420325,2149248,32,67164,0
1681423325,2151200,32,67225,0
1681426325,2151808,32,67244,0
1681429325,2159648,32,67489,0
1681432325,2160288,32,67509,0
1681435325,2160288,32,67509,0
1681438325,2169952,32,67811,0
1681441325,2172832,32,67901,0
1681444325,2172832,32,67901,0
1681447325,2172832,32,67901,0
1681450325,2172832,32,67901,0
1681453325,2172832,32,67901,0
1681456325,2172832,32,67901,0
1681459325,2172832,32,67901,0
1681462325,2172832,32,67901,0
1681465325,2172832,32,67901,0
1681468325,2172832,32,67901,0
1681471325,2172832,32,67901,0
1681474325,2172832,32,67901,0
1681477325,2181824,32,68182,0
1681480325,2124864,32,66402,0
1681483325,2124864,32,66402,0
1681486325,2073984,32,64812,0
1681489325,2038048,32,63689,0
1681492325,2027616,32,63363,0
1681495325,2027616,32,63363,0
1681498325,1967520,32,61485,0
1681501325,1927168,32,60224,0
1681504325,1925056,32,60158,0
1681507325,1898688,32,59334,1
1681510325,1893248,32,59164,1
1681513325,1886208,32,58944,1
1681516325,1874464,32,58577,1
1681519325,1874464,32,58577,1
1681522325,1870752,32,58461,1
1681525325,1863168,32,58224,1
1681528325,1855712,32,57991,1
1681531325,1848320,32,57760,1
1681534325,1846336,32,57698,1
1681537325,1845536,32,57673,1
1681540325,1796864,32,56152,1
1681543325,1796480,32,56140,1
1681546325,1785472,32,55796,1
1681549325,1773824,32,55432,1
1681552325,1771904,32,55372,1
1681555325,1681408,32,52544,1
1681558325,1672064,32,52252,1
1681561325,1686144,32,52692,0
1681564325,1700224,32,53132,0
1681567325,1714304,32,53572,0
1681570325,1764544,32,55142,0
1681573325,1764544,32,55142,1
1681576325,1879200,32,58725,0
1681579325,1879200,32,58725,1
1681582325,1749408,32,54669,1
1681585325,1663872,32,51996,1
1681588325,1658336,32,51823,1
1681591325,1653920,32,51685,1
1681594325,1646560,32,51455,1
1681597325,1639200,32,51225,1
1681600325,1631840,32,50995,1
1681603325,1585792,32,49556,1
1681606325,1585792,32,49556,1
1681609325,1585792,32,49556,1
1681612325,1585792,32,49556,1
1681615325,1585792,32,49556,1
1681618325,1663904,32,51997,0
1681621325,1663904,32,51997,1
1681624325,1663904,32,51997,1
1681627325,1663904,32,51997,1
1681630325,1663904,32,51997,1
1681633325,1663904,32,51997,1
